iter	Passed	Remaining
398	1258	1895
399	1261	1892
400	1264	1888
401	1267	1885
402	1270	1882
403	1273	1878
404	1276	1874
405	1279	1871
406	1282	1868
407	1284	1864
408	1287	1861
409	1290	1857
410	1294	1854
411	1296	1850
412	1299	1847
413	1302	1844
414	1305	1840
415	1308	1837
416	1311	1833
417	1314	1830
418	1317	1826
419	1320	1823
420	1323	1819
421	1326	1816
422	1328	1812
423	1332	1809
424	1334	1805
425	1338	1802
426	1340	1799
427	1343	1795
428	1346	1792
429	1349	1789
430	1352	1785
431	1356	1782
432	1358	1779
433	1361	1776
434	1364	1772
435	1367	1769
436	1370	1766
